k,Tweeted?,submitted,uni,aff,year,body,additonal-info
Y,FALSE,7/11/2020 22:22:56,Cornell University,Student,2020,"I once experienced the collective aggression of several South and South East Asian students who were attempting to harass me in our biostats class. They would frequently laugh at me, mock me and tried to humiliate me over a perceived slight that I did not know occurred. In the same class, a group of East Asian students would snicker to each other about me every time I asked a question. This happened on a consistent basis. The Indian professor and TA, who both had a casual disdain for me, would address me in front of my peers with judgement and condescension dripping from their lips. Though I still ended up getting an A in the class, these interplaying dynamics produced the single most horrifying classroom experience of my life. ",
Y,FALSE,7/12/2020 21:06:31,Cornell University,Student,,"I rushed for Delta Sigma Pi my sophomore year. I remember walking out of the second round feeling confident and proud that I finally did something out of my comfort zone. An hour after I left, my friend sent me a picture and asked if they were the people who interviewed me. I found out that right after the round, two people from DSP went CTB and were talking about me while waiting for their food. ""Her hair was so unprofessional.""""I guess we need more diversity candidates."" ""She only got that job because she's black."" ""She'll never party and fit in with us."" I felt absolutely gutted. My self confidence and self-worth went to an all-time low. I think back to that semester and I can't even remember how many times I cried about being Black and wishing I could just be a normal, white sorority girl. This business fraternity only embraces ""any person any study"" if you check the boxes on their ticket of privilege. ",
Y,FALSE,7/14/2020 2:50:53,Cornell University,Student,2021,"When I was a freshman, I went to a basketball game with friends & at the end of it, I found a lost wallet & a set of keys in the stands. After some searching, I found some Cornell Univ police officers, all white males. I told them the very short story & they proceeded to take down the information & ask me personal demographic questions like my email, address, name. I was confused so I asked why do they need that for a lost wallet? They said “well if the owner wants to file a complaint we would need your info to find you” I was in shock & left asap. Luckily nothing happened but why did they take down my information as though me returning the wallet was because I had already stolen the money or valuables inside of it. Being Black is not even being allowed the courtesy of implied innocence. ","Black Woman 
Feel free to edit if there are typos , & replace my “&” with the word “and”"
NO POST,FALSE,7/20/2020 17:03:39,Cornell University,Student,2020,"This didn’t happen at school, but I was a software engineer intern at Facebook last summer. I knew 4 other Black interns. None of us get a return offer. I also talked to the asian and white interns I know personally and only 1 out of 10 didn’t get it. I don’t know I feel so discouraged from tech.",
,FALSE,7/20/2020 17:40:13,Cornell University,Student,2022,"I hope there could be fewer people who are fake woke. I know a rich girl on SA whose Insta bio reads something like ""before changing the world change yourself."" She has 4000+ followers and would constantly post how SA would do better to speak for POC students. When I did talk to her about the micro aggressions I faced at Cornell, she never sympathized with me and all I heard are empty words like “oh I’m so sorry for your experiences.” What could I say? Priviledged people pretending to care about social justice only to gain clout on Insta.",
Y,FALSE,7/20/2020 23:09:57,Cornell University,Student,2021,"Last semester I took one of the many race/gender/class-based discussion courses at Cornell. The first half of the class had a South Asian interim professor. During one of the first classes, we discussed a piece of work from an Enlightenment thinker. I brought up the fact that this Enlightenment thinker was integral to the construction of race and post-enlightenment justifications for slavery, and thus we should consider the piece through that context. This professor had a habit of cutting me off mid-thought and hoarding class time to “de-racialize” discussion. This time was no different, as he asked me to “remove race“ from my analysis. I pushed back, saying you cannot remove race from these discussions, especially when discussing the architects of modern racial hierarchy. He responded that this Enlightenment thinker was not “KKK” racist, therefore “not as bad” and implied that we should engage with the piece in a more positive manner. I pretty much stopped talking in class after that; having not wanted to fall into the “Angry Black Woman” trope that these classes often lead me to assume.",
Y,FALSE,7/27/2020 23:58:09,Cornell University,Student,2022,"My friends and I were at Louie’s (a popular food truck) getting a late snack. While we were standing in line, a white guy that was in front of us shouted “I’m Jim Crow”. He was obviously too drunk to notice that we were there but his friends turned around and “apologized” for him being “too drunk.” I still have a bitter taste in my mouth when I think about that night",
Y,FALSE,7/28/2020 22:42:45,Cornell University,Alumni,2019,"Today, Cornell alumni who donated this past year received a video made “just for you.” When I clicked to open the video, it was of a Black girl. I then received an email from Ezra, the alumni magazine. The front page of the email had two pictures: one featuring a wealthy white donor, and a picture of another Black student, presumably the beneficiary. Covert messages like these signal that Black students are dependent on the supposed “generosity” of donors to wealthy schools like Cornell.",
Y,FALSE,7/30/2020 13:32:42,Cornell University,Student,2022,"When I received my acceptance letter from Cornell University, I was told I had to attend the ""Prefreshman Summer Program"" or forfeit my admission. This program, attended almost exclusively by students of color, turned out to be organized academic hazing. Three summer session remedial courses were chosen for me, none of which counted for any academic credit. Courses were very intensive, containing eight weeks of coursework condensed into a six week term. I was told by course staff that my admission could be rescinded if I did not perform well enough in my courses. An instructor told students that they were at a significant disadvantage because of their ""background"" and that they would have to work harder than everyone else to even be considered average. I watched the mental health of my peers deteriorate and several people left the program, dropping out before their first academic year even started.  When I returned in the Fall I found the rigor was nowhere near the intensity of the Prefreshman Summer Program. This leads me to believe that the program is academic hazing for students let in through affirmative action, weeding out students with lacking educational background to reduce the attrition rates of the university.",
Y,FALSE,7/30/2020 13:47:24,Cornell University,Student,2022,"As a low-income, queer student of color with a disability from a small rural town in a state with a poor quality of education, I constantly wonder how I managed to get into an Ivy League institution. I feel constantly out of place, even among other students of color as a mixed race student who did not grow up around Black culture. I can't help but remember how poor I am as I walk past countless white students with the newest iPhone and MacBook. The pressure to excel is constant as I watch my peers ace their coursework and get accepted into prestigious internship programs. I feel rejected by the disabled community as a person with an invisible disability and rarely feel I belong in the white-centric LGBTQ community at the university. Sometimes I feel like the only thing that keeps me going is the spite for the people who told me I wouldn't succeed.",
,FALSE,7/31/2020 13:17:44,Cornell University,Student,2022,"In one of my Advanced ILR writing classes, we were discussing Financial Aid and Work Study. One of my classmates mentioned that she could tell who was in financial aid because they always were “almost begging” for more work. She couldn’t believe how students wanted to work that much on a typical week. She couldn’t understand that it’s not that we wanted to, but rather that we needed to do it. ",
Y,FALSE,8/2/2020 19:05:15,Cornell University,Student,,"My friends and I were walking in collegetown, coming back to grab some boba after just seeing the nighttime scene that fall. We were completely sober, laughing to each other and just talking and in front of us, there were several white students who were completely drunk and more. Cops were around and instead of focusing on the clearly inebriated students, or anywhere where underage drinking was happening or anything, he focused on us. He shined a light in our eyes, and trailed us for about five minutes. I felt so low, like you wouldn’t know. And so did my friends. I never went out again. ",
,FALSE,8/4/2020 14:32:43,Cornell University,Alumni,2017,"After a Restaurant Management Iecture when I was in The Hotel School, I heard a group of students talking about how one specific student had told another that the way she talked was unacceptable for an Ivy League campus because it sounded ghetto. Recently, this same person (now alumni) was called out for using the statement Chinavirus on social media with no remorse if anyone was offended because his asian friends gave him a pass and because being offended doesn’t mean your opinion is right. Since then, other horror stories of what this person has said to other students have been coming out left and right including telling a middle eastern student that “his kind” shouldn’t even be allowed on campus. Yet all of his friends stick by him and virtually no one calls him out. It is sickening for the one program on campus focused on genuine hospitality to even remotely tolerate this behavior and I will no longer sit by and be complicit. It is time for the hotelies to call him out and force him to grow past his childish behavior. ",
Y,FALSE,8/5/2020 0:14:02,Cornell University,Student,2023,"I came to Cornell as a Black woman with high hopes of a successful STEM career. I cannot tell you how many times that my ideas have been dismissed by my peers and even teachers. As one of the few WOC in my STEM classes, I would be forced into group projects with predominantly asian and white men who would barely give me a voice at the table and would actively erase my work or substantially edit it, despite the fact that I knew it was correct and had even gone to office hours to double check.",
Y,FALSE,8/9/2020 19:39:10,Cornell University,Student,,"A friend and I went and rushed together for Delta Sigma Pi, a business fraternity. We both transferred from another state school after our freshman year and were trying to get involved at Cornell. I am Black and my friend was white. When I talked to the brothers at the information session they asked questions like ""Are you sure you are in the right place?"" and ""The process is hard, I don't know if you can handle it."" My friend was approached with comments like ""We should grab drinks later"" and ""Don't worry I'll totally try to pull for you."" I am sick and tired of always feeling second. Two  people under the same circumstances get treated completely different because I look...less qualified? Less professional? Less like a sorority girl? Needless to say, that was the last time I tried to try out for a club at Cornell.",
Y,FALSE,8/10/2020 2:50:40,Cornell University,Student,2021,"I had a parent pass away from a long-term illness at the very end of fall semester. At the very beginning of spring semester, I told my supervisor about my family tragedy. As the semester that on, my supervisor became more and more impatient and passive aggressive towards me. It all came to a head at the end of the semester when they told me that they were unhappy with my performance/level of engagement. When I brought up that I was still having a lot trouble keeping up with life due to my grief, and was just trying my best to stay afloat in addition to all of my academic work, they said that they didn’t realize I wasn’t yet over the death of my parent.",
Y,FALSE,8/10/2020 2:58:14,Cornell University,Student,2021,"When I first came to Cornell, I met with a new professor I was potentially interested in working with. They asked me about myself and I introduced myself as Ghanaian-American. They told me that I am simply just “American” because they (a white family) adopted a Chinese child and their child considers themselves to also be white.",
Y,FALSE,8/13/2020 7:32:49,Cornell University,Student,2023,"During O-week I was the only one setting my room up (I'm an orphan) and everyone had people assisting others from the Residential Assistants to other staff. While I was carrying a heavy bag with my blackboard and other pointy stuff and was obviously in pain, nobody offered to help. I saw skinny white girls just walking by not noticing. At one point the edge of my blackboard made a cut on my leg but I thought I could treat this injury once I walk all my stuff to my room. I saw a Black woman approach me and asked the skinny white girls why they weren't helping me. I overheard them, ""why would someone help 'the help',  she's already big enough to carry her own stuff, like she's SO FAT."" I immediately knew I do not belong here and have frankly never felt at home. ",
Y,FALSE,8/16/2020 21:01:18,Cornell University,Student,23,"I signed up for the Perfect Match thing for Valentine's Day at Cornell and was really excited because I was very bored of tinder/bumble because they're very anti-Black as they are, while in Perfect Match I stayed racially anonymous. Out of the three people I matched with, only 1 talked. We texted and called for a bit and it was a lot of fun. He was interested in playing board games, liked to watch Star Trek, and was in the same major as me. I thought that we could at least become good friends. On Valentine's Day we decided to meet and as soon as he saw that I was Black, he immediately asked me to leave because his parents would never let him date someone ""non-Japanese"" (he was Japanese). I was not ready for that. I had been broken off/rejected for being slightly rude/ugly/unintelligent but even though that's still problematic, those are still things I can work on and change. I could never change the fact that I am Black, or that I am not Japanese. ",
,FALSE,8/31/2020 22:38:50,Cornell University,Student,2023,"It was 9:55 pm and I was on top of the slope facing West Campus. After checking the dineries app and realizing the dinner options were mainly pork, I figured I race to Noyes Center and go to the market to grab some food. Note that Noyes was about to close at 10 pm. I still arrived at 9:56 and went through the back entrance because a group of students were already leaving and opened the door for me. This was only my second time in the center and a few seconds later the secretary (who was just a Cornell grad or undergrad student working at the center) who was working at the desk and swiping people in came to me and asked me if I had swiped in. I told him no and that it was my bad, pulled out my ID, and asked if I could quickly go downstairs and swipe. I understood it was completely my mistake but we could’ve easily fixed it. He told me no and that I MUST leave. He told the me the market was closed even though we were standing in it and the employees were still ringing up a long line of students grabbing food. I asked him again nicely if I could swipe with my card that I had in my hand, (because I hadn’t ate in hours and the only dining hall open was serving pork). He LITERALLY freaking threatened to call University Police on me. Note that this entire interaction lasted less than 40 seconds.....Wow. This is my first week here at Cornell and I already feel so much hostility and aggressiveness. Like I thought Cornell was supposed to be a place where if you were having a problem such as having trouble finding food because you religiously can’t eat pork faculty/staff would be happy to help. I do not feel comfortable nor secure here. Also, can anyone please put the link of where Cornell students can submit reports or complaints. I saw a few weeks ago that Cornell was offering a platform to students to report things. I’d greatly appreciate if you could leave it in the comments!",
,FALSE,9/11/2020 9:47:58,Cornell University,Student,2022,Not Black,.
Y,FALSE,9/30/2020 22:27:07,Cornell University,Student,,I am a member of Delta Sigma Pi. We took a white legacy student over a qualified poc. We vowed to reform the recruitment process before rush started. That went out the window in two seconds..,
,FALSE,10/2/2020 13:53:22,Cornell University,Student,,"Despite knowing about the discrimination that DSP has towards POCs, I rushed them this semester. I'm probably dumb to think I could be ""the one"" to try and join the fraternity and be one of few African-Americans that they actually accept. Despite having a few good conversations, I was treated in a derogatory manner from a majority of the brothers, being asked demeaning questions. After speaking with other POC's, it seemed like that across the board.

When I got rejected after the second round, I reached out to the brother who I was close with in the frat. He/she even told me that they basically only like taking kids who fit the white fraternity/sorority stereotypes. Sometimes, I wonder if its even worth trying so hard to go for these clubs if all they do is judge me by the color of my skin.",
,FALSE,10/14/2020 23:49:16,Cornell University,Student,2022,"I used to be in a sorority and went through recruitment (as a sister).  The first round wasn’t very diverse, but there was a decent amount of black girls, latinx girls, Asian girls, etc. 

It was really alarming to see each round of recruitment get significantly whiter.  It made me question who my sorority was cutting and why. 

They say “trust the process.” The process sucks. A “trustful” process doesn’t eliminate minorities. ",
Y,TRUE,6/15/2020 14:05:37,Dartmouth College,Student,2021,"This happened to my friends freshman year but when they went to a popular frat for a party the brothers told them to go in through the dog door while the white students went through the regular door. These friends are all Black, like me. ",this happened two years ago but I think it is still painfully relevant! My school especially deserves to know that they have a long way to go in making us feel safe and welcomed 
Y,TRUE,6/15/2020 14:49:25,Dartmouth College,Student,21,Dartmouth has been really quiet about the series of racist vandalism incidents done to black students’ dorm rooms this past school year. Were the students involved identified? Yes. Were they expelled? Of course not. ,
NO POST,FALSE,6/17/2020 13:23:44,Dartmouth College,Student,2022,"In a really small class with majority white people, my professor asked me if I had ever read some book about slaves even though he had never asked me anything in class before. When I rolled my eyes and told him that I had not read it he told me that I should read it. I was shocked. Now I think of all the ways I could have challenged his statement but at the time all I could say was, “I’m good, I’m not reading it.”",
Y,FALSE,6/17/2020 14:10:06,Dartmouth College,Alumni,2014,My first week on campus I was asked if my parents were in the cartel and if that's how they could afford tuition. That was the moment I realized I would always be an outsider. ,
Y,TRUE,6/18/2020 17:33:22,Dartmouth College,Alumni,2009,"My senior year a tenured psych prof announced to the entire class that Dartmouth was a better school before they admitted blacks and women. I am black and a women, needless to say the rest of the year was uncomfortable. ",
Y,TRUE,6/18/2020 20:56:52,Dartmouth College,Alumni,2013,"During my freshman year, my sociology teacher taught us that The Moynihan Report was a fact, and Black people are inferior to white people. She was denied tenure that year, and rehired as a Dean during my junior year.",
Y,FALSE,6/18/2020 21:02:27,Dartmouth College,Student,2013,"My cheerleading coach told me that I was ghetto for wearing a Dartmouth bandana to protect my hair during practice. His regular racist comments combined with permitting white teammates to miss games for sorority events while telling Black teammates that we would be suspended from the team took the joy out of the sport. I complained to my dean and quit the team, but he continued to coach without being reprimanded.",
Y,FALSE,6/20/2020 23:40:25,Dartmouth College,Alumni,2011,"Being told by a professor in the department that I worked front desk for, ""glad you started wearing your hair the right way."" I had just gotten my hair straightened by the ""hair care specialist"" that came to Hanover 2x a month. ",
Y,FALSE,6/26/2020 9:12:49,Dartmouth College,Alumni,2009,I once had a professor tell me I acted too much like a white male by speaking up in class and that wasn’t going to help me succeed — too much agency isn’t good for black girls,
NO POST,FALSE,6/27/2020 7:07:41,Dartmouth College,Student,,Not an experience. Just a statement. DONT LET THEM WHITE PEOPLE WALK YOU OFF THAT SIDEWALK!,
Y,FALSE,6/27/2020 13:44:57,Dartmouth College,Alumni,2018,"Dartmouth offers an exchange program to an HBCU. The start date of the program required me to leave an ongoing Dartmouth term about a 1.5 weeks early. When I explained this to one of my professors (who required attendance as a part of my grade) he said “it’s not my problem that you want to go and get a lesser education than Dartmouth, that’s not my problem.” He gave me a C in the class. I petitioned my grade to the chair of the department (an older white man), who agreed with the professor and said I should prioritize my studies better next time to avoid this. ","I watched multiple athletes (black and white tbh) get free passes on this attendance mandate for their games, as they’re school sponsored events. However, the exchange term to an HBCU that was organized BY THE COLLEGE was not considered worthy of the same concessions my peers had received. I felt that the department should have at least been willing to meet with me directly to discuss the event and outcomes, but I was only worth a two lined email. "
Y,FALSE,6/27/2020 13:55:09,Dartmouth College,Alumni,2018,"My father is a D’84, and my sister is a Harvard ‘15. My family was visiting for the Dartmouth/Harvard football game. A white mom sees my dad’s alumni hat, & asks in a surprised voice, “hey, you went here?” He says yes & mentions I was a student there & that they came for the game because my sis. goes to Harvard. The mom responds “wow, what sports do they play?” The assumption that we, ask black students, would also be athletes in the Ivy League, didn’t fly with my father, who curtly responded “none, they got into the ivy league on their own, school was their sport..” ",
Y,FALSE,6/28/2020 8:45:47,Dartmouth College,Alumni,2019,"The most sobering aspect of my 4 years in college is recognizing that institutions like Dartmouth and the rest of the lvy League are the very cradles of white supremacy. If nothing else, the ‘prestige’ of these institutions stems from their philosophy to preach, promote, and exude an anglo-saxonist paradigm.",
Y,FALSE,7/1/2020 15:17:28,Dartmouth College,Alumni,2012,"Being a black woman at Dartmouth meant being hyper-visible and hyper-sexualized at parties hosted by predominately white frats — which accounted for 90% of Dartmouth’s fraternities.  When I was a student, frats dominated the social scene.  At my first party as a freshman, I spotted a familiar (white) face who went to the same high school as I did.  Though we didn’t know each other well, we’d gone to school together for years.  I remember distinctly how uncomfortable I felt, my friend and I the only two black women in a sea of inebriated frat bros, many of whom would gawk at us but not speak.  I was relieved when I noticed my high school classmate, a regular at the frat, smiling in our direction.  As he approached, flanked by two buddies, I assumed he’d noticed how uncomfortable we looked and was extending a warm welcome. Instead, he came right up to us and asked my friend if her butt was real, at which point one of his buddies proclaimed “HE GOT JUNGLE FEVER!”  We were humiliated.   The real catch?  This type of incident wasn’t isolated.  It was common.  And these dudes are in positions of power and climbing the ranks of law firms and hedge funds and working in major political campaigns. ",
Y,FALSE,7/10/2020 9:25:06,Dartmouth College,Alumni,20,"As an FGLI pre-med black woman, I often sat in STEM classes surrounded by peers who didn’t look like me nor come from an underfunded public high school. Struggling through my courses, I frequented office hours for extra help. One day leaving my Orgo 2 professor’s office hours, a white female student who had also been present turned to me and asked if I was pre-med. Once I confirmed she immediately went on to complain about how “black people have it easy to get into med school because the school’s need you”. She went on to say how we “simply don’t have to work as hard because med schools are being pushed to meet their diversity quota”.",
Y,FALSE,7/10/2020 9:33:29,Dartmouth College,Student,21,"One day I was working the front desk of Dartmouth’s main library literally minding the business that pays me (my own) when this old, white man walks up and introduces himself as an alumni and states that he approaches every black persons he sees to let them that he’s the Johnny Appleseed of racism and to give them a history lesson about how Amazing Grace was written by a white slave trader. I am not here to affirm your white guilt not do I have to listen to your stories simply because I’m black.",
Y,FALSE,7/12/2020 1:48:56,Dartmouth College,Student,2008,"My Asian roommate sophomore year in east wheelock was shocked to find out I was African American. When she first met me she said she thought I would be white by the way I sounded on the phone. She clearly must not have read my name because it is Ghanaian. She then proceeded to say she was initially scared to room with a black person because she felt they would steal all of her things. She finished by saying her parents were also worried and wanted to see if she could switch roommates. But that after meeting me In person wasn’t what she expected, so her parents will be happy. ",
Y,FALSE,7/25/2020 19:43:38,Dartmouth College,Student,2021,"Whether black women within the Ivies want to believe this or not, some of us black men are routinely being ignored and overlooked by y’all too. I’m only speaking from experience and countless conversations with other black men who might not portray the stereotypical “characteristics” or “qualities” of a desirable black male within the black community. Not all black women want to date ALL black men here. We all can’t be the same. If you want to embrace us, embrace all of us and not just the athletes and Alphas. Some of us have been waiting to be chosen by y’all too!!",
Y,TRUE,6/15/2020 8:44:22,Harvard University,Student,2022,"One year, I was walking back to my dorm and found a racial slur written on my door. It still hurts that I never found out who it was.",
Y,FALSE,6/15/2020 13:29:42,Harvard University,Student,2023,"Ever since I have stepped foot on this campus, I am always reminded that I am not supposed to be here. Whether it be my peers disregarding my opinions or my professors refusing to acknowledge my voice. I thought going to Harvard was going to be an amazing journey but it turns out this place is no different from a white affluent suburban neighborhood where I constantly feel like I do not belong. ",
Y,TRUE,6/15/2020 14:56:32,Harvard University,Student,2023,A certain world renown professor loves to make jokes about affirmative action to his Black students when they ask for help. He knows who he is. ,
Y,FALSE,6/16/2020 17:42:52,Harvard University,Student,2022,Applied for a student job on campus that works cleaning dorms. Interviewed by a group of white and non-black students who worked as managers for the student-run cleaning company. Rejected and later told that I presented myself as “too aggressive” during the initial round interviews. First time in my life I’ve ever been called “aggressive”. ,
Y,TRUE,6/16/2020 17:44:37,Harvard University,Student,2022,Stopped saying “good morning” when I realized that I was being purposely ignored by white peers every morning. The white students who entered the classroom seconds behind me were always greeted though. ,
Y,TRUE,6/17/2020 5:53:46,Harvard University,Student,2021,"Being Black at Harvard means being left out of student networks such as sharing of notes, syllabi or old exams. ",
Y,FALSE,6/23/2020 23:15:48,Harvard University,Alumni,2019,Having a professor tell you that they gave you a “B minus” in their class so that you can work harder for an “A” because they think you are not Harvard material. This same teacher told said that I was an “A” student in the class but she did not understand why I decided to come to Harvard for grad school. ,
Y,FALSE,6/24/2020 5:09:41,Harvard University,Alumni,2017,"My on-campus job was as a fundraiser for the College. Didn’t love it but it paid well and was pretty flexible. It was really common for alumni I called to decline donating citing their “child/grandchild” didn’t get into Harvard. I would respond I was sorry to hear that (and sometimes also “I’m sure your child/grandchild is amazing etc.” and thank them for their time. One time I will never forget though,  is, after apologizing to a caller about his sister not attending Harvard and getting ready to hang up, he angrily said “yeah, she should have had your place”. I know he couldn’t have known that I was black but it stung because of past experiences of peers claiming I only got in because of affirmative action, because this happened to be a job that was popular for members of the black community at the time, and because he must have reasonably assumed I was someone who needed to be working while in school. It was just one of many moments where I was made to feel Harvard couldn’t be “mine” the way it belonged to other (rich, white) students.",
Y,FALSE,6/27/2020 13:01:13,Harvard University,Alumni,2019,"A professor consistently did not “understand” my approach to research and gave me a lower grade than I deserved, only to reach out to me the following year to ask if my final project could be shown as an example of excellent work. ",
Y,TRUE,6/27/2020 19:53:41,Harvard University,Student,2020,"My cis white man world-renowned Women, Gender and Sexuality professor was speaking in class about the 1960s and almost said the n-word, then stopped, laughed and said ""I don't usually say the n-word in front of my classes."" I stopped going to class after that. ",
Y,TRUE,6/29/2020 10:18:53,Harvard University,Alumni,2015,"During my freshman year, my event coach sat me down at the head coach’s request to discuss why I always ate at the “black table” and proceeded to ask whether I had non-black friends. Meanwhile, I rarely saw any black faces at my white teammates’ tables. I never felt comfortable around the head coach after that. ",
Y,FALSE,6/29/2020 15:05:26,Harvard University,Alumni,18,"My research advisor consistently gave me less work to do than my white peers. While my fellow research assistants performed complex modelling, I was relegated to performing data entry (mindlessly entering numbers into Excel), despite our similar qualifications and training. I brought up my concern to him multiple times, and after three or four times he became frustrated and told me that people of ""my kind"" hadn't been particularly diligent in the past. I quit my position the next week. ",
Y,FALSE,6/30/2020 16:10:01,Harvard University,Student,2019,"In a history lecture on Thomas Jefferson, my white professor had a slide that read “agency - Sally Hemings could have left in Paris”. When I raised my hand to correct her, she insisted that Sally was an adult at the time and could have left. I continued to push back with no support from my 30+ classmates. She opened the next class saying she was “confused on the dates”.",
Y,FALSE,6/30/2020 16:12:17,Harvard University,Student,2019,"In a History of Science course, my white male professor gave a 90 minute lecture on forced sterilization without mentioning Black and Indigenous women once. When I sent him email about his gross oversight, he said “we can’t cover everything”. In the next class, he apologized for his oversight saying he “wasn’t aware” of that history. ",
Y,FALSE,7/2/2020 18:17:28,Harvard University,Student,2022,I have many stories one that really stands out was my freshman year I had met a group of very white girls who seemed very different from me they all had money and I grew up very low income and they all turned to me and asked did you get in because your smart or because your black and i at first though they were joking but learned later they weren’t this went on for my past 2 years with professors and peers.,
Y,FALSE,7/2/2020 21:59:43,Harvard University,Alumni,2012,"My first day of orientation, I was surrounded by white students, all of whom seemed wealthier than myself. They were being dropped off in BMW and Mercedes SUVS. I was not used to this scene, as I am from a lower middle class part of St. Louis, where those type of cars are not seen as often. A white male came up to me and asked, “Are you the help?”. I didn’t understand what he meant at first, but then it finally clicked. He was looking at me as if I was the one to do his “dirty work”. I immediately questioned weather that’s where I belonged, but after finding my place and keeping my head held high, I stayed.",
Y,FALSE,7/3/2020 11:06:25,Harvard University,Student,,"I was having a conversation with my 'friend' about how dating on campus was harder for me as a dark skinned Black female because nonblack males were almost never attracted to me and a common phenomenon within the Black community is for Black men to feel like they were 'moving up' in society by being with white or nonblack lighter skinned people. She, a white female, kept dismissing me saying that it was on me, that I needed to put myself out there more, and that I couldn't blame others for people not being attracted to me. Her complete dismissal of me has made me so self conscious, and I still struggle to have confidence because she made me feel like I was the problem and that colorism didn't actually exist even though I rationally know it does ESPECIALLY at elite PWIs. ",
Y,FALSE,7/3/2020 18:43:13,Harvard University,Alumni,2015,"In graduate school, a professor told one of my classes that the reason certain schools in Harlem existed was because ""those students were getting pregnant too often, and needed an education so that it would decrease this high pregnancy rate"". Having come from NYC and from the public schools, I spoke up against this misinformation and blatant display of prejudice in class. After class, a white student approached me and asked if she could treat me to dinner. I agreed, but was surprised when, while sitting in a restaurant in Harvard Yard, my classmate told me that I would need to tone down my ""opinions"" and ""separate"" myself from my race and my personal experiences, as none of that would have any place in the ""Real World"". I did not want to give her words any power, but I cried when she said these words to me. ",
Y,FALSE,7/10/2020 19:42:11,Harvard University,Student,2018,"I was struggling while taking a quantum mechanics course. I was always scared of going to office hours like other students for fear of being seen as “less.” That year I overcame my fear and reached out to the Professor. With their guidance and faith in me (shout out to Professor Ni), I turned my struggle around and scored 100 on one of our problem sets. 

My grade was published while sitting next to my white friend during a shift at my job. Excited, I turned around and told her I got a 100 on my pset. Looking me straight in the eye and laughing, she said “Oh, the one you copied off of Lexi!” [an Asian student]

She did not know what class this grade was in.  
She did not realize that Lexi was not in this class.  
She did not take note that Lexi and I have always equally collaborated in all our past work efforts. 

She believed that if I ever scored 100 on a problem set, I must have cheated off a non-Black student. That there was no way for me to do it on my own. And she had no problem voicing that assertion in my work place, with my boss nearby. 

To this day, I am not fully comfortable around this woman--a future doctor. How can you move forward with someone who has no respect for you? Who you know will never fully understand the gravity of what they did and why it was wrong? 
",*Lexi is a pseudonym. 
Y,FALSE,7/10/2020 19:57:36,Harvard University,Student,2018,"Freshman year, my friends and I were taking a required premed course—LS1B. Immediately we noticed our TA would routinely give our pset answers lower scores, even though we had the same answers as other students (of course with small differences in phrasing). 

It may seem silly fighting over points, but this was premed and this was Harvard. The standards for med school were still high, but the curve was small. Everyone was fighting to break out of the B+ bubble. 

One day I confronted my TF and pushed her to answer why I had gotten 0 points on a question when my answer was no different than another student who got full marks. For some reason that day I was relentless and didn’t let her have any easy outs. Maybe it was because I was tired. Tired of having my essay drafts be used as model examples in expos but still ending up with a B+. Tired of Professors and students looking down on me even though I was more than capable. Tired of all the bullshit. 

That day she admitted my answer was the same. When I asked her how many points she would return to me, she looked at me and said “1/4.” My jaw dropped. Seeing that, she said maybe 1/2. This question was several points. 

My other Black friend got fed up and wrote a scathing email to the TA heads. Of course, that led to the course staff committing themselves to failing his assignments. We ended the course with a B- and C+ respectively. Perhaps that was the beginning of the end of our premed dreams",
COMPLAINT,FALSE,7/12/2020 23:30:20,Harvard University,Student,2020,BLACK LIVES DONT MATTER SHUT THE FUCK UP TRUMP 2020 BITCH NIGGASSS,
Y,FALSE,7/15/2020 1:48:46,Harvard University,Student,2021,"I knew a white student who gave himself the nickname “the ethnic guy”, in part because he wanted to instill himself in Harvard’s Indian culture, but also because he would only pursue minority (he called them ethnic) girls. This was just one part of his personality. From when I knew him, he would make snide, racist remarks, particularly towards black students, but also to other minorities. The funny thing is he is a very accomplished and respected senior now. Yet as far as I am aware, those friends that surround and respect him are aware of the way he acts, but simply don’t care.",
Y,FALSE,7/15/2020 10:22:25,Harvard University,Alumni,2019,"I served in a leadership position on the board for the our graduate student council and right before my term was up the incoming president (a very smug white student) pushed me out of my position. He stopped inviting me to board related events and said he had the authority to change the rules, even though we had bylaws that stated we were to serve in our outgoing position until elections the following semester. Things got so bad that they were escalated to school leadership. He started to question the work I had done in the organization. Even after serving in my position for 2 years and receiving praise from peers and faculty alike, he started using tactics to get new students on the council to question my work in the organization. He effectively pushed me out towards the end of my last term which was bittersweet because I actually liked serving the organization. After I was pushed out my position, I never returned to any of the meetings for the council. ",
Y,FALSE,7/15/2020 15:25:30,Harvard University,Alumni,2020,"One time someone asked me how X class was. I said I wasn’t in that class. She told me that a Prof. had seen me in that class. Since I am one of 2 black people in my department, I knew instantly that she must have mistaken the other black person for me. This same Prof. insisted that rather than studying German in Berlin for the summer (a city that is known for its progressiveness and diversity), I go to a small town in Bavaria instead. Though I can’t say for sure, I have the feeling that she was completely ignorant to the fact that a small black person traveling alone like me in a foreign country without knowledge of the language would never feel comfortable in an isolated part of Germany given their history. ","Once in a class in the same department, we were looking at Ancient Greek depictions of African people in Egypt, one of which shows a black young man grappling with a crocodile. My prof. at the time said that this was called “the Negro Crocodile” type vase and that it “wasn’t racist, that’s just what it’s called,” completely blind to the fact that the inventors of this categorization (and the field in general) were active in constructing notions of white supremacy. "
